503,8551,362,279,485,404,130,-33.9
504,9072,1726,1106,1527,1169,407,-257.5
505,8080,1096,785,910,982,492,-101.1
506,9108,304,350,762,1071,285,68.3
507,6084,392,242,17,20,22,-96.2
508,3048,110,246,47,80,123,-14.0
509,8653,922,845,721,980,328,-105.3
511,11753,1033,1023,1089,987,551,-100.0
512,8704,642,700,729,691,291,-71.1
513,3078,122,169,75,83,19,-29.2
515,16480,1096,1094,1036,1018,370,-152.8
516,14964,1275,999,1044,1197,559,-123.4
517,22231,2443,2315,1795,1947,816,-362.2
518,21756,3218,2815,2689,2562,1067,-455.5
519,21798,3880,3311,2835,3338,1288,-515.7
521,19798,1370,1286,1347,1170,384,-208.8
522,13050,1279,1273,1085,966,356,-215.3
523,9414,501,596,382,393,152,-90.1
524,8384,413,264,231,286,102,-60.0
525,9450,363,343,438,411,174,-31.0
526,8942,479,443,411,385,209,-59.8
527,6851,533,560,394,363,192,-87.9
528,7392,268,280,152,121,83,-52.9
529,7406,125,184,78,56,22,-33.4
530,9010,255,259,148,204,71,-42.3
531,8496,373,328,289,377,136,-42.5
532,11172,1949,1177,1016,1499,606,-236.4
533,9594,1830,1276,1067,1665,703,-186.5
534,10680,205,188,186,280,129,-6.0
535,8025,1095,1204,1427,1548,700,-44.6
536,9648,50,36,57,35,11,-7.9
537,13425,1134,938,762,853,353,-164.7
538,19906,3272,2801,3074,3301,1167,-371.0
539,5929,129,97,107,80,28,-21.9
540,7020,346,465,526,481,201,-27.4
541,2705,1,3,2,2,0,-0.3
542,3794,223,192,174,211,57,-31.3
544,38624,1310,1499,2342,2134,677,-63.1
545,39240,456,423,417,381,130,-69.4
547,42666,4705,5577,5807,4031,1438,-808.0
548,50964,3266,3527,4042,4385,713,-424.8
549,21411,1119,1404,1571,1463,467,-124.5
550,66000,3252,3614,4683,4892,2281,-66.4
551,51243,4969,5770,7073,5883,1862,-610.1
552,52440,5642,6483,5223,5734,2018,-799.7
554,20498,104,84,269,806,377,126.8
555,22200,63,113,568,483,192,62.8
556,9452,216,277,507,736,366,75.9
557,42889,862,1146,2236,2816,1283,251.2
558,18972,369,350,511,458,269,-9.2
559,41925,976,1305,1869,2388,942,101.5
576,26496,1052,1739,2938,3622,1792,336.3
577,26542,558,706,908,1023,552,30.5
578,27744,1325,661,1340,1665,837,2.8
579,6948,0,0,0,0,0,0.0
580,6960,6,0,3,0,0,-1.2
581,24983,368,455,422,615,196,-18.4
582,20952,503,324,433,414,202,-51.2
583,13409,1,6,13,6,0,-0.2
586,8204,10,4,12,2,0,-2.2
587,4696,18,3,6,4,0,-3.5
588,12348,3,18,15,18,3,0.0
589,60667,1299,1039,1745,2262,708,4.1
590,17110,481,565,573,660,172,-52.3
591,21276,1159,1593,1547,1218,456,-178.1
592,20720,786,1745,1426,1656,627,-40.7
594,18414,405,540,508,363,177,-63.3
595,22610,1057,1848,2060,2448,726,-6.2
596,10132,499,710,1225,1062,246,-15.4
597,35820,1460,2150,1423,1283,555,-267.7
598,22724,448,590,424,595,123,-64.5
599,23361,378,411,216,102,30,-100.5
600,25800,335,247,119,129,54,-68.0
601,25843,341,330,181,204,99,-61.0
602,27090,312,219,138,204,111,-41.7
603,7236,3,15,3,0,3,-1.5
604,7248,0,0,0,0,0,0.0
605,9680,7,0,9,6,0,-0.8
607,210629,5535,7759,7120,7372,2736,-598.5
608,30400,219,142,619,990,312,103.4
609,36540,279,339,634,699,153,10.8
611,18941,187,234,316,472,97,5.8
612,36108,698,1018,1095,1521,465,3.7
613,25133,1814,1989,2111,2606,708,-159.5
614,22718,445,591,759,742,240,-25.9
615,22140,660,619,882,903,278,-48.0
616,23408,835,811,882,1300,531,-11.9
617,37020,655,957,1324,2376,1102,231.3
618,47586,738,769,1411,2632,1359,310.5
619,47044,1030,1259,1907,2543,964,115.2
620,30380,333,309,469,681,294,29.4
621,47817,809,862,805,803,354,-96.9
622,42296,1075,1075,824,1100,418,-128.9
623,36757,680,615,507,716,364,-53.1
624,41184,872,1000,609,949,454,-88.7
625,25000,892,1375,551,891,426,-141.6
627,18810,102,66,111,210,96,13.2
628,20724,201,243,198,399,174,10.2
629,27047,382,435,453,540,138,-38.3
630,28980,2789,2835,2019,2085,579,-517.0
631,22085,852,1293,752,159,18,-280.2
632,29072,1173,843,766,147,10,-302.2
642,40446,84,389,556,1174,517,165.1
643,32150,683,419,452,795,297,-39.6
644,23184,152,175,278,211,88,-9.2
645,27735,42,43,27,27,6,-8.8
646,76228,409,386,398,523,186,-30.9
647,49172,254,294,274,410,180,-3.2
648,10368,12,18,18,13,9,-1.1
649,50622,321,376,412,592,299,17.2
650,10400,250,507,552,396,93,-42.5
653,7836,3,12,36,15,9,1.5
655,17685,144,96,81,96,15,-25.8
656,12464,9,1,0,3,0,-1.6
657,19710,3,9,9,9,6,0.6
660,33000,54,109,99,117,38,-2.4
661,47592,497,360,486,376,141,-69.6
662,24494,196,267,260,187,51,-37.0
663,13923,42,33,39,42,9,-5.7
664,53784,792,516,673,808,325,-64.2
665,43225,288,333,504,484,176,-7.3
667,42021,906,751,924,727,281,-127.4
668,28056,226,171,276,194,82,-26.5
669,36795,991,740,703,501,225,-177.1
670,32160,1318,853,728,603,288,-231.0
671,57706,3992,2905,2177,1877,841,-733.0
672,50400,404,435,275,189,24,-100.6
673,30958,195,119,84,74,17,-40.1
675,24975,91,72,45,37,33,-15.1
676,14872,18,9,16,12,0,-3.3
677,8124,0,0,6,0,0,0.0
678,65766,1600,1467,899,449,215,-378.8
679,35987,172,66,74,42,33,-30.2
681,26559,293,377,225,143,54,-71.2
682,46376,4972,2785,2327,2619,1191,-772.8
683,22539,1291,1347,1290,756,397,-237.9
684,27360,929,732,762,575,267,-148.1
685,18495,9,9,9,3,0,-2.4
687,8244,3,0,0,3,0,-0.3
689,16536,298,288,285,359,186,-15.3
690,42090,481,377,660,460,205,-46.9
692,30448,270,309,224,412,136,-16.5
693,6930,4,2,2,2,0,-0.8
694,43722,296,257,324,331,96,-32.6
696,28536,692,548,821,2494,813,218.8
697,35547,199,219,147,475,157,17.2
698,11168,33,24,31,129,18,7.5
699,25863,184,128,84,246,70,-11.0
700,65800,372,349,517,684,240,7.1
702,49140,411,294,225,385,159,-41.3
703,8436,0,0,0,3,0,0.3
704,13376,741,453,631,576,363,-63.3
705,11280,36,12,7,0,3,-7.8
706,19062,196,254,459,463,72,-3.9
708,63720,514,1271,3344,3703,855,311.4
709,8508,3,3,0,9,0,0.0
710,117150,53,129,409,739,323,115.0
711,129402,161,142,97,114,76,-19.8
712,56960,0,0,0,0,0,0.0
714,430542,1315,873,784,439,137,-279.0
716,84488,245,952,748,715,299,-12.9
717,113286,108,348,197,358,95,-1.6
718,290790,490,450,456,506,133,-65.8
719,79809,53,95,90,219,79,17.6
720,95760,71,127,33,161,76,4.4
721,551565,713,922,912,1022,280,-76.6
722,14440,177,54,36,37,34,-30.3
724,16652,194,404,2563,2471,1458,459.5
726,37752,490,135,244,550,159,-24.7
727,215192,901,1220,3607,2497,1125,172.5
728,65520,37,47,101,200,10,9.9
729,154548,2381,3743,2843,2978,1075,-337.7
730,51100,1437,840,1417,804,1017,-87.6
732,24888,15,40,19,19,6,-3.9
733,24189,113,55,52,87,33,-12.8
737,15477,15,9,0,3,6,-2.4
738,25092,1568,1249,1189,949,432,-257.2
739,14041,6,15,12,25,18,3.4
740,23680,47,9,32,9,42,-1.0
741,22230,150,132,162,93,30,-27.9
742,35616,1687,1698,1163,1443,523,-258.3
743,33435,2690,2226,1926,2354,1388,-247.6
744,39432,2568,3012,2646,3028,691,-373.8
745,33525,1572,1504,1284,2307,629,-108.3
746,16412,232,285,171,228,111,-29.9
747,31374,1274,894,858,1430,634,-74.4
748,25432,1422,1400,1484,1370,376,-212.2
749,18725,390,415,509,475,173,-37.4
750,25500,1757,1491,1372,1485,357,-280.6
751,11265,0,5,4,25,0,2.0
