196,2,2,2,0,0,-0.6
198,1,0,0,1,0,-0.1
199,0,9,2,0,0,-0.9
200,0,1,0,1,0,0.0
201,0,0,0,0,1,0.2
202,0,0,1,0,0,0.0
203,0,1,0,0,0,-0.1
204,0,0,0,3,0,0.3
205,0,0,0,1,0,0.1
206,1,1,11,1,2,0.2
207,2,0,9,9,0,0.5
208,0,0,1,1,1,0.3
210,2,0,1,0,0,-0.4
211,1,0,0,0,0,-0.2
212,3,12,14,12,2,-0.2
213,1,1,0,0,0,-0.3
214,0,0,9,0,0,0.0
215,0,0,0,1,0,0.1
216,11,1,1,2,2,-1.7
219,12,12,1,1,1,-3.3
220,13,12,1,2,2,-3.2
221,1,1,0,0,0,-0.3
222,4,1,2,1,0,-0.8
223,1,1,0,1,0,-0.2
224,1,1,0,1,0,-0.2
225,16,3,1,2,2,-2.9
228,9,8,16,8,8,-0.2
229,1,1,8,0,0,-0.3
231,8,9,0,24,0,-0.1
232,9,8,24,24,16,3.0
233,0,0,0,0,0,0.0
234,8,0,8,8,0,-0.8
235,40,34,32,40,40,0.6
236,16,24,40,16,16,-0.8
237,8,8,9,8,9,0.2
239,8,8,0,8,8,0.0
240,16,8,8,16,0,-2.4
244,1,8,9,0,8,0.6
248,16,51,51,16,0,-6.7
249,8,1,24,8,0,-0.9
250,9,8,9,16,8,0.6
251,1,29,9,25,8,1.0
252,25,2,17,8,9,-2.6
253,10,18,2,16,8,-0.6
256,9,32,27,9,16,-0.9
258,17,9,18,32,1,-0.9
259,26,9,25,25,8,-2.0
278,26,27,43,74,34,6.3
279,17,8,17,26,9,0.2
282,64,116,125,117,91,5.5
287,8,25,33,33,24,4.0
288,47,68,59,76,36,-1.4
297,0,0,8,9,0,0.9
298,9,1,17,8,0,-1.1
312,14,23,1,0,0,-5.1
313,1,1,2,1,1,0.0
314,4,1,4,3,1,-0.4
315,18,5,1,1,0,-4.0
316,12,1,2,0,11,-0.3
317,0,0,0,0,0,0.0
318,1,2,0,2,0,-0.2
319,0,0,1,0,9,1.8
320,1,0,1,1,0,-0.1
321,0,0,0,1,0,0.1
327,10,2,12,1,1,-1.9
329,0,0,1,1,0,0.1
332,1,0,0,2,0,0.0
334,1,0,0,0,0,-0.2
336,0,0,0,0,0,0.0
338,9,0,10,10,1,-0.6
339,0,0,0,0,0,0.0
344,2,12,2,2,1,-1.2
420,20,20,21,24,9,-1.8
421,28,24,30,25,27,-0.1
